1	0.00385	3.53	78.6	152
2	0.025	4.15	78.2	154
3	0.0474	4.34	77.6	155
4	0.0691	5.27	77.1	155
5	0.0889	5.78	76.6	155
6	0.112	8.16	76.5	153
7	0.126	7.84	76.5	153
8	0.133	22.9	77.2	153
9	0.14	49.6	79.3	153
10	0.151	70.1	78.7	154
11	0.157	78.1	78.4	155
12	0.162	84	78.2	156
13	0.175	91.7	90.7	157
14	0.196	102	101	152
15	0.216	109	109	134
16	0.237	113	112	96
17	0.258	114	114	82
18	0.279	113	113	72
19	0.3	111	112	66
20	0.323	107	108	60
21	0.343	102	104	55
22	0.366	91.8	94.3	52
23	0.386	77.3	85.4	50
24	0.407	58.3	91.4	49
25	0.432	43.3	92.2	49
26	0.459	26.3	92	49
27	0.475	9.53	90.2	49
28	0.498	5.88	87.6	52
29	0.519	3.68	86.9	58
30	0.539	2.63	84.6	66
31	0.561	1.37	82.8	79
32	0.581	1.26	81.4	101
33	0.605	1.35	80.3	115
34	0.626	1.76	79.3	124
35	0.645	2.06	78.5	131
36	0.666	2.36	77.5	136
37	0.689	2.87	77.1	141
38	0.711	3.27	76.4	145
39	0.733	3.57	75.8	149
40	0.754	4.29	75.4	152
41	0.775	4.59	74.8	153
42	0.795	4.68	74	156
43	0.808	4.88	73.7	156
